name;license_number;phone_number;zipcode;address1;address2;address_simple;description;homepage;only_female;category_id;creator_id
Niicole Studio;null;0234437001;135954;서울특별시 강남구;도산대로59길 16 Table2025. 2;압구정로데오역 4번출구 5분거리;차별화된 1대1 맞춤 운동을 가르치는<br/>청담동 니콜스튜디오;http://nicolestudio.kr/;false;29;3
O' spa;null;0222822010;135833;서울특별시 강남구;선릉로 619 채운빌딩 지하1층;선정릉역 1번출구 2분거리;발레리나 뺨치는 몸매를 가꿀수 있는 발레피트니스 스튜디오<br/>뉴욕에서 시작된 신개념 피트니스로<br/>발레기본동작과 바를 이용한 필라테스의 코어 컨디셔닝과 특별한 호흡법으로 운동 효과를 극대화!;http://www.o-spa.kr/;false;3;3
6beautytips;null;0234426442;135897;서울특별시 강남구;신사동 662-16 3;압구정로데오역 6번출구 3분거리;뉴욕의 slow exercise를 접목시킨 프로그램을 제공하는 6beautytips<br/>다양한 소도구를 이용해서 진행되는 큐어바디워크를 배워보자 ;http://www.6beautytips.com/;true;3;3
김진아 모던필라테스;null;0234458777;137809;서울특별시 강남구;강남대로 517 형제빌딩 2층;논현역 3번출구 5분거리;재활전문 필라테스 스튜디오<br/>10년 이상의 전문 강사진 보유<br/>체형교정과 다이어트를 동시에!;http://www.kjapilates.com/;false;5;3
J&S pilates;null;025559242;135875;서울특별시 강남구;봉은사로 68길 75 우리빌딩 5층;선릉역 8,10번 출구 7분거리;선정릉 내려다보이는 지상스튜디오<br/>공기 좋은 곳에서 배우는 필라테스와 자이로토닉! ;http://www.jnspilates.com/;false;5;3
바디핏;null;025162285;135833;서울특별시 강남구;선릉로619 채운빌딩 지하1;선정릉역 1번출구 2분거리;상냥하고 자상한 트레이너분들이 가르쳐주는 근력운동 프로그램<br/>코어트레이닝, 바디펌프, 카디오엑서사이즈로 구성된 그룹 PT<br/>재활전문 1대1 PT 프로그램<br/>근력운동과 유산소 운동을 동시에!;-;false;29;3
MRR;null;025554233;135839;서울특별시 강남구;테헤란로414 엘앤비타워 B1;선릉역 1번출구 3분거리;점심시간에도 왠지 가고 싶은 깔끔하고 쾌적한 MRR<br/>30분 서킷 트레이닝으로 짧고 강렬하게!;http://blog.naver.com/mrrfitness;false;29;3
줌필라테스;null;025681977;135500;서울특별시 강남구;삼성로57길 19 B1;한티역 3번출구 10분거리;요가하는 남자를 볼수있다는 줌필라테스<br/>플라잉요가와 그룹매트필라테스를 배워보자;http://www.zumpilates.com;false;2;3
점핑하이;null;07082000041;135858;서울특별시 강남구;도곡로 18길 4;양재역 3번 출구 15분거리;지루하고 힘든 운동은 그만<br/>신나는 점핑으로 방방!;http://jumping-high.com/;false;4;3
블랙칸;null;01043088818;135925;서울특별시 강남구;역삼동 753-3 지선빌딩 B1;강남역 4번출구 10분거리;화제의 댄스 바차타를 배울수있는 블랙칸 아카데미<br/>살사와 바차타 입문자들 드루와 ;http://cafe.daum.net/blackan77;false;35;3
이지댄스;null;025529979;135932;서울특별시 강남구;역삼동 819 웰스탑빌딩 3층;강남역 11번, 12번 출구 1분거리;강남역 댄스 전문학원<br/>방금 먹은 라면 하나는 거뜬히 뺄수 있는 다양한 댄스프로그램\ㅜ흔들어 흔들어  ;http://www.ezdance.co.kr;false;35;3
바디체인지;null;025395635;135932;서울특별시 강남구;역삼동 819 웰스탑빌딩 3층;강남역 11번, 12번 출구 1분거리;왠만한 운동은 다 모였다<br/>복합 그룹 PT 프로그램으로 재밌게 즐기자;-;false;33;3
LP댄스;null;0220520152;135908;서울특별시 강남구;강남대로98길 19 B1;강남역 11번 출구 10분거리;강남역 최대 규모의 춤바람난 댄스학원<br/>춤이란 춤은 다 모였다 ;http://www.lpdance.com;false;35;3